Plan ID,BMI Range,BMI Category,Goal,Day,Exercise,Sets,Reps,Focus
1,<18.5,Underweight,Powerlifting,Monday,Squat,4,8,"Moderate weight, controlled"
1,<18.5,Underweight,Powerlifting,Monday,Romanian Deadlift,4,10,"Form focus, moderate load"
1,<18.5,Underweight,Powerlifting,Monday,Bulgarian Split Squat,3,                                12 (each leg),Balance & stability
1,<18.5,Underweight,Powerlifting,Monday,Push-Ups,4,15,Add weight if needed
1,<18.5,Underweight,Powerlifting,Monday,Plank,4,1 min hold,Core strength
1,<18.5,Underweight,Powerlifting,Tuesday,Bench Press,4,8,Moderate-heavy for growth
1,<18.5,Underweight,Powerlifting,Tuesday,Incline Dumbbell Press,4,10,Chest development
1,<18.5,Underweight,Powerlifting,Tuesday,Barbell Rows,4,10,Upper back thickness
1,<18.5,Underweight,Powerlifting,Tuesday,Bicep Curls,4,12,Hypertrophy focus
1,<18.5,Underweight,Powerlifting,Tuesday,Russian Twists,4,20,Core rotation
1,<18.5,Underweight,Powerlifting,Wednesday,Rest/Active Recovery,-,-,"Stretching, mobility work"
1,<18.5,Underweight,Powerlifting,Thursday,Deadlift,4,6,Heavy but safe for form
1,<18.5,Underweight,Powerlifting,Thursday,Pull-Ups,4,Max,Assistance if needed
1,<18.5,Underweight,Powerlifting,Thursday,Lunges,4,10 (each leg),Controlled tempo
1,<18.5,Underweight,Powerlifting,Thursday,Overhead Press,4,8,Moderate load
1,<18.5,Underweight,Powerlifting,Thursday,Side Planks,4,30 sec each side,Oblique strength
1,<18.5,Underweight,Powerlifting,Friday,Full-Body Circuit,3,Rounds,"Squat, Push-Up, Row, Lunge, Plank"
1,<18.5,Underweight,Powerlifting,Saturday/Sunday,Rest or Light Activity,-,-,"Walking, yoga, stretching"
2,18.5 – 24.9,Normal Weight,Powerlifting,Monday,Squat,5,5,Strength focus
2,18.5 – 24.10,Normal Weight,Powerlifting,Monday,Front Squat,4,6,Quad dominance
2,18.5 – 24.11,Normal Weight,Powerlifting,Monday,Leg Press,4,10,Hypertrophy support
2,18.5 – 24.12,Normal Weight,Powerlifting,Monday,Hanging Leg Raises,4,15,Core control
