Diet Plan ID,Goal,BMI Range,BMI Category,Maintenance Calorie Range,Diet Preference,Meal,Option,Quantity,Calories (kcal),Protein (g),Carbs (g),Fats (g),Fiber (g)
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Breakfast,"Oats with chia seeds, flaxseeds & almond milk",1 bowl,350,12,45,10,8
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Breakfast,Besan cheela with curd,2 cheelas,320,15,40,8,7
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Breakfast,Quinoa upma with vegetables,1 bowl,310,10,42,6,6
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Breakfast,Moong dal dosa with coconut chutney,2 small dosas,340,14,48,7,7
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Breakfast,Ragi porridge with nuts and fruits,1 bowl,360,16,50,9,9
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Mid-Morning Snack,Greek yogurt with chia seeds,1 cup,180,10,15,5,3
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Mid-Morning Snack,Handful of mixed nuts + 1 apple,1 handful + 1 apple,200,6,25,10,4
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Mid-Morning Snack,Cottage cheese (paneer) salad,1 small bowl,220,14,20,8,5
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Mid-Morning Snack,Hummus with whole wheat pita,1 serving,190,12,18,6,5
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Mid-Morning Snack,Banana with peanut butter,1 medium banana + 1 tbsp PB,210,8,22,4,6
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Lunch,Dal + Brown rice + Curd + Salad,1 bowl,450,18,60,12,8
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Lunch,Multigrain rotis + Soya chunk curry,2 rotis,480,20,65,14,7
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Lunch,Chickpea salad + Quinoa pulao,1 bowl,460,22,55,10,6
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Lunch,Vegetable stir-fry with tofu and brown rice,1 plate,470,21,58,11,8
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Lunch,Millet khichdi with yogurt,1 bowl,490,23,62,13,9
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Evening Snack,Green tea + Roasted makhana,1 cup,150,4,20,2,4
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Evening Snack,Fruit smoothie with almond milk,1 glass,200,8,35,5,5
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Evening Snack,Sprout chaat with lemon & rock salt,1 bowl,180,6,25,3,4
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Evening Snack,Roasted chana + Buttermilk,1 handful,170,9,28,4,3
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Evening Snack,Fox nuts with black salt,1 handful,160,7,30,3,5
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Dinner,Vegetable soup + Stir-fried tofu,1 bowl,400,20,50,10,6
1,Weight Loss,<18.5,Underweight,~2000-2500 kcal,Vegetarian,Dinner,Moong dal khichdi + Steamed vegetables,1 bowl,420,18,55,8,7
